srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,YearCode,TotalPopulationUrban,Year,TotalPopulationRural,TotalPopulationMale,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Jammu and Kashmir,2011-12,India,1,JAMMU AND KASHMIR,12267013,2011,3371233,"Calendar Year (Jan - Dec), 2011",8895780,6483906,1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335435.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812914480490143687,1,0.98193864574649849909,1,0.97669317066422487335,1,0.97639452211240385371,1,0.97822188046737059831,1,0.97568026822623713550,1,0.98008131321348192738,1,0.98636488653571631408,1,0.97780912468966211101,1,0.98101304041386637279,1,0.98376259304060676161,1,0.98001072463376276930,1,0.978903123789854,1,0.975481728055946,1,0.975658896767294,1
Jammu and Kashmir,2012-13,India,1,JAMMU AND KASHMIR,12267013,2012,3371233,"Calendar Year (Jan - Dec), 2012",8895780,6483906,1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335435.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812914480490143687,1,0.98193864574649849909,1,0.97669317066422487335,1,0.97639452211240385371,1,0.97822188046737059831,1,0.97568026822623713550,1,0.98008131321348192738,1,0.98636488653571631408,1,0.97780912468966211101,1,0.98101304041386637279,1,0.98376259304060676161,1,0.98001072463376276930,1,0.978903123789854,1,0.975481728055946,1,0.975658896767294,1
Jammu and Kashmir,2013-14,India,1,JAMMU AND KASHMIR,12267013,2013,3371233,"Calendar Year (Jan - Dec), 2013",8895780,6483906,1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335435.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812914480490143687,1,0.98193864574649849909,1,0.97669317066422487335,1,0.97639452211240385371,1,0.97822188046737059831,1,0.97568026822623713550,1,0.98008131321348192738,1,0.98636488653571631408,1,0.97780912468966211101,1,0.98101304041386637279,1,0.98376259304060676161,1,0.98001072463376276930,1,0.978903123789854,1,0.975481728055946,1,0.975658896767294,1
Jammu and Kashmir,2014-15,India,1,JAMMU AND KASHMIR,12267013,2014,3371233,"Calendar Year (Jan - Dec), 2014",8895780,6483906,1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335435.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812914480490143687,1,0.98193864574649849909,1,0.97669317066422487335,1,0.97639452211240385371,1,0.97822188046737059831,1,0.97568026822623713550,1,0.98008131321348192738,1,0.98636488653571631408,1,0.97780912468966211101,1,0.98101304041386637279,1,0.98376259304060676161,1,0.98001072463376276930,1,0.978903123789854,1,0.975481728055946,1,0.975658896767294,1
Jammu and Kashmir,2015-16,India,1,JAMMU AND KASHMIR,12267013,2015,3371233,"Calendar Year (Jan - Dec), 2015",8895780,6483906,1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335435.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812914480490143687,1,0.98193864574649849909,1,0.97669317066422487335,1,0.97639452211240385371,1,0.97822188046737059831,1,0.97568026822623713550,1,0.98008131321348192738,1,0.98636488653571631408,1,0.97780912468966211101,1,0.98101304041386637279,1,0.98376259304060676161,1,0.98001072463376276930,1,0.978903123789854,1,0.975481728055946,1,0.975658896767294,1
Jammu and Kashmir,2016-17,India,1,JAMMU AND KASHMIR,12267013,2016,3371233,"Calendar Year (Jan - Dec), 2016",8895780,6483906,1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335435.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812914480490143687,1,0.98193864574649849909,1,0.97669317066422487335,1,0.97639452211240385371,1,0.97822188046737059831,1,0.97568026822623713550,1,0.98008131321348192738,1,0.98636488653571631408,1,0.97780912468966211101,1,0.98101304041386637279,1,0.98376259304060676161,1,0.98001072463376276930,1,0.978903123789854,1,0.975481728055946,1,0.975658896767294,1
Jammu and Kashmir,2017-18,India,1,JAMMU AND KASHMIR,12267013,2017,3371233,"Calendar Year (Jan - Dec), 2017",8895780,6483906,1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335435.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812914480490143687,1,0.98193864574649849909,1,0.97669317066422487335,1,0.97639452211240385371,1,0.97822188046737059831,1,0.97568026822623713550,1,0.98008131321348192738,1,0.98636488653571631408,1,0.97780912468966211101,1,0.98101304041386637279,1,0.98376259304060676161,1,0.98001072463376276930,1,0.978903123789854,1,0.975481728055946,1,0.975658896767294,1
Jammu and Kashmir,2018-19,India,1,JAMMU AND KASHMIR,12267013,2018,3371233,"Calendar Year (Jan - Dec), 2018",8895780,6483906,1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335435.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812914480490143687,1,0.98193864574649849909,1,0.97669317066422487335,1,0.97639452211240385371,1,0.97822188046737059831,1,0.97568026822623713550,1,0.98008131321348192738,1,0.98636488653571631408,1,0.97780912468966211101,1,0.98101304041386637279,1,0.98376259304060676161,1,0.98001072463376276930,1,0.978903123789854,1,0.975481728055946,1,0.975658896767294,1
Jammu and Kashmir,2019-20,India,1,JAMMU AND KASHMIR,12267013,2019,3371233,"Calendar Year (Jan - Dec), 2019",8895780,6483906,1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335435.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812914480490143687,1,0.98193864574649849909,1,0.97669317066422487335,1,0.97639452211240385371,1,0.97822188046737059831,1,0.97568026822623713550,1,0.98008131321348192738,1,0.98636488653571631408,1,0.97780912468966211101,1,0.98101304041386637279,1,0.98376259304060676161,1,0.98001072463376276930,1,0.978903123789854,1,0.975481728055946,1,0.975658896767294,1
Himachal Pradesh,2011-12,India,2,HIMACHAL PRADESH,6864602,2011,688552,"Calendar Year (Jan - Dec), 2011",6176050,3481873,371528,3110345,3382729,317024,3065705,1483280,170770,1312510,27130,4.55071e+06,4577843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
